Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,0.032619,-0.58523,0.17915,0,0,0,10.42,0.13135,2.3401E-06,-0.00076673,0.24928,-3.4135E-14,0.1312,0,0,0,0,0,0,package://modbot/meshes/Chassis.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://modbot/meshes/Chassis.STL,,Layer 1-1;Base-1;Hex Rod-2;Hex Rod-8;Hex Rod-1;Hex Rod-4;Hex Rod-12;Hex Rod-10;Caster Wheel Block-1;Motor Clamp-1;Motor-1;Motor-2;Wheel Shaft-2;Wheel Shaft-1;Caster Wheel - Top Plate-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right Wheel,2.2123E-05,0.024462,3.3103E-06,0,0,0,0.72827,0.0013064,2.0166E-07,4.0071E-08,0.0023567,3.0174E-08,0.0013062,0,0,0,0,0,0,package://modbot/meshes/Right Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modbot/meshes/Right Wheel.STL,,Wheel-2,Origin_RW,Right Wheel Axis,RW,continuous,0.11841,-0.39765,0,-1.5708,0,0.78245,Chassis,0,1,0,0,0,0,0,,,1,0.01,,,,
Left Wheel,-1.4614E-05,0.025016,1.6936E-05,0,0,0,0.72827,0.0013063,-1.3321E-07,-1.3543E-07,0.0023567,1.5438E-07,0.0013063,0,0,0,0,0,0,package://modbot/meshes/Left Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modbot/meshes/Left Wheel.STL,,Wheel-1,Origin_LW,Left Wheel Axis,LW,continuous,0.11841,-0.39765,0.35775,1.5708,0,-0.37673,Chassis,0,1,0,0,0,0,0,,,1,0.01,,,,
Caster Frame,-0.00039601,8.4579E-06,-0.042488,0,0,0,0.069072,5.6774E-05,9.1096E-09,-3.5338E-06,3.3886E-05,1.8515E-08,5.0721E-05,0,0,0,0,0,0,package://modbot/meshes/Caster Frame.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://modbot/meshes/Caster Frame.STL,,Caster Wheel - Fork-1;Caster Wheel - Axle-1,Origin_CW_Frame,Rotation Axis,CWF,revolute,-0.13379,-0.42645,0.17915,1.5708,0,0,Chassis,0,0,-1,0,0,0,0,,,,,,,,
Caster Wheel,3.0043E-06,-4.5171E-06,-2.5115E-06,0,0,0,0.19827,0.00011241,-1.1919E-08,-6.8594E-09,0.00014747,9.9637E-09,0.00011241,0,0,0,0,0,0,package://modbot/meshes/Caster Wheel.STL,0.9098,0.44314,0.031373,1,0,0,0,0,0,0,package://modbot/meshes/Caster Wheel.STL,,Caster Wheel - Wheel Combined-1,Origin_CW_Wheel,Revolution Axis,CWW,continuous,-0.0125,0,-0.0675,0,0,0,Caster Frame,0,1,0,,,,,,,,,,,,
Lidar,0.0011721,0.00053209,-0.0019149,0,0,0,0.073085,1.9581E-05,-1.0393E-07,4.2839E-07,2.4125E-05,-9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://modbot/meshes/Lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://modbot/meshes/Lidar.STL,,RP-lidar-A1-2,Origin_Lidar,,L,fixed,0.18573,-0.8271,0.17915,1.5708,0,0,Chassis,0,0,0,,,,,,,,,,,,
